text,createdAt,clean_text
"As an employee, Burnout is becoming common among Microsoft employees based on my experience.",2024-02-12,employee burnout becoming common among microsoft employee based experience
"From what I see, Work life balance at Microsoft could be better overall.",2024-02-28,see work life balance microsoft could better overall
"As an employee, My experience working at Microsoft has been average so far overall.",2024-04-06,employee experience working microsoft average far overall
"Currently, Management decisions at Microsoft are frustrating for most employees.",2024-01-13,currently management decision microsoft frustrating employee
"Honestly, My experience working at Microsoft has been average so far overall.",2024-06-16,honestly experience working microsoft average far overall
"Currently, My experience working at Microsoft has been average so far in recent months.",2024-05-01,currently experience working microsoft average far recent month
"Honestly, Microsoft work culture depends a lot on the team overall.",2024-03-18,honestly microsoft work culture depends lot team overall
"Honestly, My experience working at Microsoft has been average so far for most employees.",2024-03-10,honestly experience working microsoft average far employee
"Personally, Burnout is becoming common among Microsoft employees for most employees.",2024-02-21,personally burnout becoming common among microsoft employee employee
"Currently, Work life balance at Microsoft could be better based on my experience.",2024-04-01,currently work life balance microsoft could better based experience
"Honestly, Microsoft work culture depends a lot on the team these days.",2024-03-25,honestly microsoft work culture depends lot team day
"Honestly, Working at Microsoft has been a great learning experience overall.",2024-01-29,honestly working microsoft great learning experience overall
"From what I see, Job stress at Microsoft has risen after restructuring based on my experience.",2024-01-24,see job stress microsoft risen restructuring based experience
"As an employee, Some teams at Microsoft are better than others in recent months.",2024-04-28,employee team microsoft better others recent month
"From what I see, Management decisions at Microsoft are frustrating overall.",2024-01-25,see management decision microsoft frustrating overall
"As an employee, Overall experience at Microsoft is acceptable these days.",2024-06-08,employee overall experience microsoft acceptable day
"As an employee, Microsoft offers good work life balance and flexibility in recent months.",2024-02-16,employee microsoft offer good work life balance flexibility recent month
"From what I see, Career growth opportunities at Microsoft are solid in recent months.",2024-04-08,see career growth opportunity microsoft solid recent month
"Personally, Working at Microsoft has been a great learning experience overall.",2024-04-16,personally working microsoft great learning experience overall
"Currently, Burnout is becoming common among Microsoft employees these days.",2024-02-16,currently burnout becoming common among microsoft employee day
"As an employee, Employee experience at Microsoft depends on management for most employees.",2024-01-08,employee employee experience microsoft depends management employee
"Honestly, Work life balance at Microsoft could be better based on my experience.",2024-05-03,honestly work life balance microsoft could better based experience
"Honestly, Microsoft work culture depends a lot on the team in recent months.",2024-05-12,honestly microsoft work culture depends lot team recent month
"From what I see, Microsoft work culture depends a lot on the team in recent months.",2024-06-18,see microsoft work culture depends lot team recent month
"In my experience, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-02-27,experience enjoy collaborating talented colleague microsoft employee
"Currently, Employee experience at Microsoft depends on management these days.",2024-01-23,currently employee experience microsoft depends management day
"As an employee, Burnout is becoming common among Microsoft employees overall.",2024-05-07,employee burnout becoming common among microsoft employee overall
"In my experience, My experience working at Microsoft has been average so far these days.",2024-04-15,experience experience working microsoft average far day
"In my experience, Working at Microsoft has been a great learning experience for most employees.",2024-06-07,experience working microsoft great learning experience employee
"As an employee, Overall experience at Microsoft is acceptable overall.",2024-02-27,employee overall experience microsoft acceptable overall
"Currently, Management decisions at Microsoft are frustrating for most employees.",2024-06-02,currently management decision microsoft frustrating employee
"As an employee, Microsoft offers stability but growth can be slow these days.",2024-01-30,employee microsoft offer stability growth slow day
"In my experience, Great benefits and compensation at Microsoft in recent months.",2024-03-31,experience great benefit compensation microsoft recent month
"As an employee, Work life balance at Microsoft could be better for most employees.",2024-05-13,employee work life balance microsoft could better employee
"In my experience, Microsoft offers good work life balance and flexibility based on my experience.",2024-05-06,experience microsoft offer good work life balance flexibility based experience
"In my experience, Career growth opportunities at Microsoft are solid in recent months.",2024-06-05,experience career growth opportunity microsoft solid recent month
"From what I see, Microsoft offers good work life balance and flexibility based on my experience.",2024-04-27,see microsoft offer good work life balance flexibility based experience
"Honestly, Microsoft layoffs have affected employee morale in recent months.",2024-01-28,honestly microsoft layoff affected employee morale recent month
"From what I see, Burnout is becoming common among Microsoft employees for most employees.",2024-05-09,see burnout becoming common among microsoft employee employee
"In my experience, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-01-13,experience leadership encourages innovation ownership microsoft employee
"Honestly, Microsoft layoffs have affected employee morale for most employees.",2024-02-14,honestly microsoft layoff affected employee morale employee
"In my experience, Microsoft work culture depends a lot on the team these days.",2024-06-17,experience microsoft work culture depends lot team day
"Personally, Job stress at Microsoft has risen after restructuring in recent months.",2024-04-11,personally job stress microsoft risen restructuring recent month
"From what I see, Management decisions at Microsoft are frustrating based on my experience.",2024-02-05,see management decision microsoft frustrating based experience
"As an employee, Poor communication from management at Microsoft for most employees.",2024-06-10,employee poor communication management microsoft employee
"Currently, Great benefits and compensation at Microsoft in recent months.",2024-06-24,currently great benefit compensation microsoft recent month
"As an employee, Microsoft offers stability but growth can be slow overall.",2024-03-31,employee microsoft offer stability growth slow overall
"Currently, Employee experience at Microsoft depends on management in recent months.",2024-04-18,currently employee experience microsoft depends management recent month
"In my experience, Poor communication from management at Microsoft overall.",2024-04-07,experience poor communication management microsoft overall
"Personally, Working at Microsoft has been a great learning experience in recent months.",2024-02-11,personally working microsoft great learning experience recent month
"As an employee, Job stress at Microsoft has risen after restructuring based on my experience.",2024-01-16,employee job stress microsoft risen restructuring based experience
"In my experience, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-06-21,experience leadership encourages innovation ownership microsoft employee
"Personally, Employee experience at Microsoft depends on management for most employees.",2024-04-09,personally employee experience microsoft depends management employee
"Currently, Microsoft work culture depends a lot on the team these days.",2024-02-27,currently microsoft work culture depends lot team day
"Honestly, Job stress at Microsoft has risen after restructuring in recent months.",2024-05-30,honestly job stress microsoft risen restructuring recent month
"From what I see, My experience working at Microsoft has been average so far overall.",2024-04-19,see experience working microsoft average far overall
"As an employee, Work pressure at Microsoft has increased recently these days.",2024-02-09,employee work pressure microsoft increased recently day
"As an employee, Microsoft offers stability but growth can be slow these days.",2024-05-26,employee microsoft offer stability growth slow day
"Honestly, My experience working at Microsoft has been average so far in recent months.",2024-05-14,honestly experience working microsoft average far recent month
"In my experience, Career growth opportunities at Microsoft are solid in recent months.",2024-02-26,experience career growth opportunity microsoft solid recent month
"As an employee, Job stress at Microsoft has risen after restructuring in recent months.",2024-04-02,employee job stress microsoft risen restructuring recent month
"Honestly, Working at Microsoft has been a great learning experience in recent months.",2024-04-07,honestly working microsoft great learning experience recent month
"Currently, My experience working at Microsoft has been average so far in recent months.",2024-05-11,currently experience working microsoft average far recent month
"From what I see, Burnout is becoming common among Microsoft employees overall.",2024-03-16,see burnout becoming common among microsoft employee overall
"As an employee, Microsoft layoffs have affected employee morale for most employees.",2024-01-22,employee microsoft layoff affected employee morale employee
"Currently, Microsoft layoffs have affected employee morale for most employees.",2024-01-02,currently microsoft layoff affected employee morale employee
"Honestly, Microsoft work culture depends a lot on the team based on my experience.",2024-06-24,honestly microsoft work culture depends lot team based experience
"Personally, My experience working at Microsoft has been average so far for most employees.",2024-06-28,personally experience working microsoft average far employee
"From what I see, Job stress at Microsoft has risen after restructuring overall.",2024-06-24,see job stress microsoft risen restructuring overall
"Personally, Working at Microsoft has been a great learning experience in recent months.",2024-05-22,personally working microsoft great learning experience recent month
"As an employee, Great benefits and compensation at Microsoft these days.",2024-04-09,employee great benefit compensation microsoft day
"Currently, Microsoft offers good work life balance and flexibility overall.",2024-06-13,currently microsoft offer good work life balance flexibility overall
"Honestly, My experience working at Microsoft has been average so far for most employees.",2024-01-12,honestly experience working microsoft average far employee
"As an employee, My experience working at Microsoft has been average so far for most employees.",2024-01-28,employee experience working microsoft average far employee
"From what I see, Burnout is becoming common among Microsoft employees these days.",2024-06-18,see burnout becoming common among microsoft employee day
"Currently, Employee experience at Microsoft depends on management in recent months.",2024-06-11,currently employee experience microsoft depends management recent month
"In my experience, Working at Microsoft has been a great learning experience for most employees.",2024-06-01,experience working microsoft great learning experience employee
"As an employee, Microsoft offers good work life balance and flexibility based on my experience.",2024-03-29,employee microsoft offer good work life balance flexibility based experience
"As an employee, My experience working at Microsoft has been average so far overall.",2024-03-05,employee experience working microsoft average far overall
"As an employee, Leadership encourages innovation and ownership at Microsoft in recent months.",2024-02-02,employee leadership encourages innovation ownership microsoft recent month
"In my experience, Microsoft work culture depends a lot on the team in recent months.",2024-06-07,experience microsoft work culture depends lot team recent month
"As an employee, Great benefits and compensation at Microsoft these days.",2024-04-25,employee great benefit compensation microsoft day
"Honestly, I enjoy collaborating with talented colleagues at Microsoft for most employees.",2024-02-09,honestly enjoy collaborating talented colleague microsoft employee
"As an employee, Overall experience at Microsoft is acceptable these days.",2024-02-13,employee overall experience microsoft acceptable day
"Personally, Great benefits and compensation at Microsoft these days.",2024-03-11,personally great benefit compensation microsoft day
"Honestly, Microsoft layoffs have affected employee morale in recent months.",2024-05-02,honestly microsoft layoff affected employee morale recent month
"As an employee, Overall experience at Microsoft is acceptable these days.",2024-05-21,employee overall experience microsoft acceptable day
"As an employee, Microsoft offers good work life balance and flexibility based on my experience.",2024-05-17,employee microsoft offer good work life balance flexibility based experience
"Honestly, Microsoft offers good work life balance and flexibility overall.",2024-01-05,honestly microsoft offer good work life balance flexibility overall
"In my experience, Job stress at Microsoft has risen after restructuring for most employees.",2024-05-28,experience job stress microsoft risen restructuring employee
"As an employee, Some teams at Microsoft are better than others for most employees.",2024-01-03,employee team microsoft better others employee
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-05-11,currently employee experience microsoft depends management based experience
"Honestly, Microsoft work culture depends a lot on the team these days.",2024-04-01,honestly microsoft work culture depends lot team day
"Honestly, Working at Microsoft has been a great learning experience based on my experience.",2024-05-12,honestly working microsoft great learning experience based experience
"From what I see, Management decisions at Microsoft are frustrating these days.",2024-04-26,see management decision microsoft frustrating day
"Currently, Microsoft offers good work life balance and flexibility in recent months.",2024-04-06,currently microsoft offer good work life balance flexibility recent month
"Currently, Microsoft layoffs have affected employee morale these days.",2024-03-31,currently microsoft layoff affected employee morale day
"From what I see, Management decisions at Microsoft are frustrating these days.",2024-06-03,see management decision microsoft frustrating day
"Honestly, Microsoft offers good work life balance and flexibility based on my experience.",2024-04-16,honestly microsoft offer good work life balance flexibility based experience
